SKU,Description,Price
23830,"Spa Frog Balancing Basics Kit - Featuring the Trudose Cap JumpH, DropH, Target, SooTHe and StoMPS, for pH up, pH down, Total Alkalinity, Calcium Increaser and MPS all in one kit brought to you by Spa Frog, 2 boxes per case, sold in cases only NEW FOR 2026!",$59.95 
23831,"Spa Frog DropH pH decreaser - 12 per case, refills for the balancing basics kit, provide easy to dose pH decreaser by Spa Frog",$8.85 
23832,Spa Frog JumpH pH Increaser - 12 per case refills for the balance basics kit. Use for pH that is too low. Easy dosing cap included.,$7.81 
23833,"StoMPS - Non-Chlorine shock - 12 per case, refills for the balancing basics kit, easy dosing cap included",$17.19 
23834,"Target Alkalinity Decreaser - 12 per case, refill for balancing basic kits, increases Alklinity. Easy dose cap included",$7.40 
23835,"SooTHe - Calcim Increaser - 12 per case, refill for the balancing basics kit, easy dosing cap included.",$7.40 
20014,Serene Bromine cartridge 150 gram  - Refill cartridge for floating device or inline. (24/cs) Use with Spa Frog Test Strips,$9.92 
20198,Serene Bromine 200 gram cartridge for Marquis inline system - Not for use in floating device. (24/cs) Use with Spa Frog Test Strips,$10.63 
20015,"Serene Mineral cartridge in line system or floating refill - Mineral, pH neutral, reduces redeye. Replacement for inline or floating kit (12/cs)",$21.50 
20063,Serene Bromine Floating Refresh Kit - 4/150gr Bromine & 1 Mineral cartridge. Use w/Spa Frog Test Strips. (12/cs),$61.80 
20067,Serene Bromine inline refresh kit  - 4/200 gram Bromine & 1 Mineral cartridge. Use w/Spa Frog Test Strips. (12/cs),$65.87 
20016,"Serene Bromine Floating sanitizer system- 150 gram Bromine & Mineral cartridge, 10 Sample Spa Frog Test Strips. Includes green floating cartridge holder. (6/cs)",$33.17 
24847,"Spa Frog Bromine Test Strips - 50 test strips per bottle. Also reads pH, and total alkalinity. Not for use with @ease SmartChlor (12/cs)",$7.42 
20150,"Serene Kit Inline,  One month Start-up with balancers - 1 200 Gr Bromine, 1 Mineral Cartridge, Spa Frog Test Strips, Oxidizer, pH increaser, Alkalinity increaser, pH & Alkalinity decreaser, in a vinyl bag.",$63.70 
20151,"Serene Bromine Floating Start-up - Contains Spa Frog start-up floating kit, Oxidizer, pH Increaser, Alkalinity Increaser, pH & Alkalinity Decreaser, Test Strips, in a vinyl plastic bag.",$63.70 
20250,"Serene Bromine In-Line Filter Care Kit, Contains: 4-200 gr Bromine, In-Line Mineral, Oxidizer, pH Increaser, Alkalinity Increaser, pH & Alkalinity Decreaser, Test Strips, Measuring Cup, Sediment Pre-Filter, Rapid Action Filter Cleaner, packaged in a bucket with Lid for filter soaking.",$132.00 
20100,"ATV Start Up Chemical Bucket - Test strips, pH Increaser,5lb shock oxidizer, 5lb chlorinating granules, pH & Alkalinity Decreaser, Water Clarifier, Metal and Stain Remover packaged in a pail for soaking filters.",$132.00 
20630,"Swim Spa Cartridges that treats up to 3,000 gallons of water. 1 Mineral (4 months) 1 SmartChlor (3-4 weeks) 30 test strips, Kick-it shock and tether, Cyanuric Acid free! System flips over when chlorine is empty(6 kits/cs)",$71.67 
20678,Swim Spa Chlorine Refill Cartridges - SmartChlor (3-4 weeks) Cyanuric Acid free! (8 pcs/cs),$29.50 
20682,"@ease w/SmartChlor Inline cartridge kit - Includes one mineral and one SmartChlor cartridge, test strips (10 ct) and JumpStart packet (6 kits/cs)",$30.00 
20692,@ease Mineral Cartridge Inline refill - The mineral cartridge refill for @ease with SmartChlor.  Good for 4 months. (12/cs),$20.17 
20683,"@ease with SmartChlor cartridge refill- Slow erosion, self-regulating chlorine. Not compatible w/@ease floating cartridges. (12/cs)",$10.33 
20684,"@ease with SmartChlor Floating Sanitizing System - For use in hot tubs
without  inline dispensers.With test strips (10ct) and JumpStart.(6 kits/cs)",$30.67 
20685,@ease with SmartChlor Chlorine 3-pack - refill for floating kit   provides 3 months of clean water. Not for inline use. (6-3-packs/cs),$35.00 
20689,"@ease with SmartChlor™ Chlorine Test Strips  - 30 test strips, measures
hardness/chlorine/alkalinity/pH. 12/cs. Not for use with Serene Bromine",$7.32 
20339,"@ease Refresh Kit with SmartChlor™ inline  - Contains 4 SmartChlor Inline, 1 mineral with: test strips, and JumpStart (12/cs)",$61.83 
20323,"Spa Frog Jump Start: Effervescent Start up package of Di-chlor for up to 600 gallons.Each display box contains 12 packages of 1.5oz. Jump Start, 6 box displays per case. (6/cs) Pricing per case of 6 boxes",$32.50 
20868,Spa Frog Maintain Shock - Use as a display for your counter-top. Twelve 2oz. Shock for the @ease program. 6 boxes per case.,$32.50 
,MARQUIS® BRANDED CHEMICALS,
